RegionCode,RegionOperatorCode,ServiceCode,LineName,Description,StartDate
W,SSWL,CPAX016,X16,Risca-Cardiff,31/07/2016
W,SSWL,CPBO052,52,Blackwood-Abertillery,06/08/2017
W,SSWL,CPCG000,G,Caerphilly-ChurchillPark,31/07/2016
W,SSWL,CPCK000,K,Caerphilly-Caledfryn,30/10/2016
W,SSWL,GWAO010,10,Garndiffaith-Pontypool,28/08/2016
W,SSWL,GWAO080E,80E,Cwmbran-Pontypool,15/01/2017
W,SSWL,GWAO094,94,EbbwVale-Abergavenny,05/11/2017
W,SSWL,GWAO098,98,Abertillery-EbbwVale,01/09/2015
W,SSWL,GWAO801,801,CwmbranEstates-YsgolGyfunGwynllyw,03/01/2017
W,SSWL,GWAX015,X15,Brynmawr-Newport,06/11/2017
W,SSWL,GWDX022,X22,EbbwVale-Cwmbran,06/11/2017
W,SSWL,MGAO039,39,Brecon-HerefordviaHayonWye,06/08/2016
W,SSWL,MGAO150,150,GilfachGoch-Porth,06/01/2017
W,SSWL,MTAO081,81,MerthyrTydfil-Bryngolau,03/11/2014
W,SSWL,RCCO122,122,Tonypandy-Cardiff,04/12/2016
W,SWTR,NPAO239,239,BritonFerry-YsgolBaeBaglan,02/01/2017
W,SWTR,NPAO251,251,Neath-NeathviaGlannantWay,05/09/2016
W,SWTR,SWAO024,24,"Swansea-MorristonHospitalviaBrynhyfrhyd,Caemawr,MorristonCross",24/07/2017
W,TAFV,PBAO351,351,Tenby-PendineviaSaundersfoot,25/07/2016
W,TANV,PWBO081,81,Welshpool-Newtown,07/09/2015
W,TANV,PWCX075,X75,Newtown-Welshpool,07/09/2015
W,TANV,PWEO071A,71A,FourCrosses-Oswestry,07/09/2015
W,TANV,TVAO086A,86A,"NewtownBusStation-NewtownBusStationviaTrehafren,MochdreIndEstate",02/11/2015
W,TNLX,FLAO028A,28A,Wrexham-FlintviaMold,04/01/2017
W,TNLX,FLAO127,127,Holway-Mold,07/09/2015
W,VALT,WRBO064,64,Pengwern-Llangollen,18/07/2016
W,VOEL,DGAPS01,PS1,Prestatyn-Rhyl,25/01/2016
W,VRTR,MTAE079,E79,Merthyr-Treharris,04/01/2016
W,WTAX,WTAO034,34,Wrexham-Trevalyn,10/01/2017
W,1CTL,CMAL035,L35,YsgolStrade-Llwynhendy,20/06/2016
W,ACYM,ACAO004,4,Bangor-Holyhead,08/10/2017
W,ACYM,ACAO004R,4R,Bangor-Holyhead,08/10/2017
W,ACYM,ACAO024,24,ColwynBay-LlandudnoJunction,19/07/2015
W,ACYM,ACAO044,44,Bangor-Holyhead,03/07/2016
W,ACYM,MGAO083,83,Rhyl-RhylCircular,26/03/2017
W,AMID,WRAO002C,2C,Wrexham-CefnMawrviaRuabon,12/08/2014
W,ANSL,GWAO024X,24X,"VartegHill-NewportviaPontypool,Cwmbran",07/09/2017
W,ANSL,GWAX001,X1,"Brynmawr-CwmbranviaAbertillery,Pontypool",04/09/2017
W,ANSL,GWGO003,3,Cwmbran-CwmbranviaLlanyravon,20/03/2017
W,ANSL,MGAW003,W3,MonmouthBusStation-MonmouthBusStationviaWyesham,29/03/2016
W,ANSL,PAAO008B,8B,Cwmbran-UpperCwmbran,20/03/2017
W,BCOL,SWAO592,592,GrenfellPark-CefnHengoedSchool,10/09/2015
W,BERW,GYBO014,14,Pwllheli-Tudweiliog,07/08/2014
W,BJMS,CGAT021,T21,Pontrhydfendigaid-PenglaisCampus,05/09/2016
W,CACH,SMAS049,S49,PontypriddRoad-StRichardGwynneHighSchool,15/10/2014
W,CACH,SMBS014,S14,BroadStreet-BrynHafrenSchool,15/10/2014
W,CATC,GYCO099B,99B,Rhyd-Porthmadog,02/12/2011
W,CBUS,CBAM002,M2,CardiffMETLlandaff-WestGrove,17/09/2017
W,CBUS,CBAO001,1,Origin-Destination,03/09/2017
W,CBUS,CBAO008,8,HeathHospital-CardiffBay,03/09/2017
W,CBUS,CBAO008S,8S,CathaysHighSchool-CardiffBay,30/04/2017
W,CBUS,CBAO012,12,LeckwithRetailPark-Drope,02/06/2017
W,CBUS,CBAO013,13,SportsVillage-Drope,03/09/2017
W,CBUS,CBAO095,95,HeathHospital-BarryIsland,03/09/2017
W,CBUS,CBAO097A,97A,Barry-Barry(Anticlockwise),03/09/2017
W,CBUS,CBAO098,98,HighlightPark-BarryviaMorrisons,03/09/2017
W,CBUS,CBAO604,604,ClareStreet-YsgolPlasmawr,05/04/2015
W,CBUS,CBAX045,X45,CardiffBayASDA-StMellons,03/09/2017
W,CBUS,CBCO006,6,CardiffBay-CardiffviaBaycar,10/09/2017
W,CBUS,CBCX059,X59,Cardiff-CardiffGateBusinessPark,03/09/2017
W,CBUS,CBEO045B,45B,CardiffCityCentre-StMellons,05/06/2017
W,CBUS,CBFO035,35,Cardiff-GabalfaEstate,03/09/2017
W,DJNS,WRAO005,5,WrexhamBusStation-Llangollen,01/10/2017
W,DJNS,WRAO006,6,Wrexham-RuabonviaBersham,06/02/2017
W,DJNS,WRBO141,141,Wrexham-MineraviaCoedpoeth,30/03/2014
