RegionCode,RegionOperatorCode,ServiceCode,LineName,Description,StartDate
NW,2528,NW_06_2528_HOS_1,HOS,BEWSEY-BEWSEY-HALTONVILLAGE,01/01/2016
NW,2545,NW_06_2545_657_1,657,DOWNALLGREEN-BILLINGE-CHAPELBROW,01/01/2016
NW,2578,NW_06_2578_137_1,137,STHELENS-CHAPELBROW-STHELENS,03/09/2017
NW,2578,NW_06_2578_146_1,146,HUYTON-KNOWSLEY-HUYTON,01/01/2016
NW,2578,NW_06_2578_17_1,17,STHELENS-SUTTONMANOR-WIDNES,03/09/2017
NW,2578,NW_06_2578_266_1,266,GARSTON-WOODLANDS-GARSTON,01/01/2016
NW,2578,NW_06_2578_663_1,663,STOCKBRIDGEVILLAGE-CROXTETHPARK-CROXTETH,01/01/2016
NW,2581,NW_06_2581_709_1,709,STANNS-RAINHILL-WESTPARK,01/01/2016
NW,2581,NW_06_2581_722_1,722,BLACKBROOK-NEWBOSTON-NEWTONLEWILLOWS,01/01/2016
NW,2581,NW_06_2581_733_1,733,LEAGREEN-SUTTONHEATH-WESTPARK,01/01/2016
NW,2581,NW_06_2581_757_1,757,STHELENS-WINDLEHURST-DENTONSGREEN,01/01/2016
NW,2581,NW_06_2581_784_1,784,MUNCASTER-BIRCHLEYROAD-GREENLEACH,01/01/2016
NW,2581,NW_06_2581_785_1,785,MUNCASTER-COWLEYHILL-LAFFAK,01/01/2016
NW,2604,NW_06_2604_4_1,4,LIVERPOOL-MOSSLEYHILL-LIVERPOOL,23/07/2017
NW,2604,NW_06_2604_600_1,600,GARSTON-DINGLE-EDGEHILL,01/01/2016
NW,2604,NW_06_2604_725_1,725,MAGHULL-OLDROAN-MELLING,01/01/2016
NW,2604,NW_06_2604_725_2,725,MELLINGMOUNT-KIRKBY-MAGHULL,01/01/2016
NW,2605,NW_06_2605_661_1,661,WOOLTON-ALLERTON-GARSTON,24/04/2016
NW,2605,NW_06_2605_706_1,706,EASTHAMRAKE-STANTON-OXTON,01/01/2016
NW,2605,NW_06_2605_762_1,762,HIGHPARK-CHURCHTOWN-MARSHSIDE,01/01/2016
NW,2608,NW_06_2608_623_1,623,PLYMYARD-BROMBOROUGH-NEWFERRYPARK,01/01/2016
NW,2608,NW_06_2608_656_1,656,NEWTON-MEOLS-WALLASEY,23/04/2017
NW,2608,NW_06_2608_658_1,658,WALLASEY-BIRKENHEAD-SAUGHALLMASSIE,01/01/2016
NW,2608,NW_06_2608_664_1,664,WOODCHURCH-WOODCHURCH-UPTON,23/04/2017
NW,2628,NW_06_2628_J53_1,J53,RUNCORNHEATH-RUNCORN-WESTONPOINT,01/01/2016
NW,2768,NW_06_2768_2_1,2,GRANGE-MURDISHAW-HALTONVILLAGE,01/01/2016
NW,ACY,NW_02_ACY_1A_1,1A,Chester-BlaconParade-RhuddlanRoad-Chester,03/09/2017
NW,ACY,NW_02_ACY_3_1,3,Chester-Broughton-Buckley-Mold,05/06/2017
NW,ACY,NW_02_ACY_3A_1,3A,Chester-Broughton-Buckley-Mold,05/06/2017
NW,ACY,NW_02_ACY_4S_2,4S,Chester-Hawarden-Buckley-Mold,29/10/2017
NW,ACY,NW_02_ACY_DB4_1,DB4,Chester-Blacon-DeesideIndustrialPark,09/04/2017
